=== Benchmarking on Random DNA (10000000bp) ===
Algorithm               | Pattern Length | Matches | Time (ms)
ShiftBM_Hybrid       |             20 |    2743 |  30.1270
Knuth-Morris-Pratt   |             20 |    2743 |  93.0550
Rabin-Karp           |             20 |    2743 |  46.7670
------------------------|----------------|---------|----------
Boyer-Moore          |             32 |     154 |  37.1900
Boyer-Moore-Horspool |             32 |     154 |  38.7680
Turbo Boyer-Moore    |             32 |     154 |  52.4230
Shift-Or             |             32 |     154 |  25.7750
ShiftBM_Hybrid       |             32 |     154 |  27.2980
Knuth-Morris-Pratt   |             32 |     154 | 103.0590
Rabin-Karp           |             32 |     154 |  51.2460
------------------------|----------------|---------|----------
Boyer-Moore          |             64 |       0 |  23.6800
Boyer-Moore-Horspool |             64 |       0 |  39.9130
Turbo Boyer-Moore    |             64 |       0 |  37.4540
Shift-Or             |             64 |     154 |  25.5900
ShiftBM_Hybrid       |             64 |       0 |  15.7410
Knuth-Morris-Pratt   |             64 |       0 |  96.3770
Rabin-Karp           |             64 |       0 |  49.1320
------------------------|----------------|---------|----------
Boyer-Moore          |            128 |       0 |  13.9640
Boyer-Moore-Horspool |            128 |       0 |  41.6020
Turbo Boyer-Moore    |            128 |       0 |  26.9310
Shift-Or             |            128 |     154 |  26.0810
ShiftBM_Hybrid       |            128 |       0 |   9.1440
Knuth-Morris-Pratt   |            128 |       0 |  97.8330
Rabin-Karp           |            128 |       0 |  49.6840
------------------------|----------------|---------|----------
Boyer-Moore          |            256 |       0 |   7.6090
Boyer-Moore-Horspool |            256 |       0 |  41.1730
Turbo Boyer-Moore    |            256 |       0 |  13.9600
Shift-Or             |            256 |     154 |  25.9350
ShiftBM_Hybrid       |            256 |       0 |   4.9620
Knuth-Morris-Pratt   |            256 |       0 |  97.4560
Rabin-Karp           |            256 |       0 |  46.8530
------------------------|----------------|---------|----------
Boyer-Moore          |            512 |       0 |   5.5880
Boyer-Moore-Horspool |            512 |       0 |  40.5050
Turbo Boyer-Moore    |            512 |       0 |  10.6220
Shift-Or             |            512 |     154 |  26.9810
ShiftBM_Hybrid       |            512 |       0 |   4.9590
Knuth-Morris-Pratt   |            512 |       0 |  93.6940
Rabin-Karp           |            512 |       0 |  48.3640
------------------------|----------------|---------|----------
